book id,title,author,author l-f,additional authors,isbn,isbn13,my rating,average rating,publisher,binding,number of pages,year published,original publication year,date read,date added,bookshelves,bookshelves with positions,exclusive shelf,my review,spoiler,private notes,read count,recommended for,recommended by,owned copies,original purchase date,original purchase location,condition,condition description,bcid
36436086,The Three Electroknights,Stanisław Lem,"Lem, Stanisław",Michael Kandel,"=""0241339391""","=""9780241339398""",0,3.40,Penguin Classics,Paperback,54,2018,2018,,2021/07/01,to-read,to-read (#660),to-read,,,,0,,,0,,,,,
57110082,Busy Doing Nothing,Rekka Bellum,"Bellum, Rekka",Devine Lu Linvega,"=""""","=""""",5,4.42,,Kindle Edition,218,2021,,2021/06/26,2021/04/27,,,read,,,,1,,,0,,,,,
18194,The Cyberiad,Stanisław Lem,"Lem, Stanisław","Michael Kandel, Daniel Mróz","=""0156027593""","=""9780156027595""",0,4.17,Harcourt,Paperback,295,2002,1965,,2021/06/25,to-read,to-read (#659),to-read,,,,0,,,0,,,,,
56015023,This Is Your Mind on Plants,Michael Pollan,"Pollan, Michael",,"=""0593296907""","=""9780593296905""",0,3.73,Penguin Press,Hardcover,288,2021,2021,,2021/06/24,to-read,to-read (#658),to-read,,,,0,,,0,,,,,
39659833,The Architecture of Closed Worlds,Lydia Kallipoliti,"Kallipoliti, Lydia",,"=""3037785802""","=""9783037785805""",0,4.43,Lars Muller Publishers,Paperback,352,2018,,,2021/06/22,to-read,to-read (#657),to-read,,,,0,,,0,,,,,
55766187,Radical Attention,Julia Bell,"Bell, Julia",,"=""""","=""9781999922375""",0,4.43,Peninsula Press,Paperback,128,2020,2020,,2021/06/22,to-read,to-read (#656),to-read,,,,0,,,0,,,,,
404437,The Long Way,Bernard Moitessier,"Moitessier, Bernard",,"=""0924486848""","=""9780924486845""",0,4.26,Sheridan House,Paperback,256,1995,1971,,2021/06/20,to-read,to-read (#655),to-read,,,,0,,,0,,,,,
449944,The Abolition of Work & Other Essays,Bob Black,"Black, Bob",,"=""0915179415""","=""9780915179411""",0,3.77,Loompanics Unlimited,Paperback,168,1986,1986,,2021/06/20,to-read,to-read (#654),to-read,,,,0,,,0,,,,,
52753017,Suppose a Sentence,Brian Dillon,"Dillon, Brian",,"=""1913097013""","=""9781913097011""",0,3.88,Fitzcarraldo Editions,Paperback,192,2020,2020,,2021/06/03,to-read,to-read (#653),to-read,,,,0,,,0,,,,,
1167185,The Reflective Practitioner: How Professionals Think In Action,Donald A. Schön,"Schön, Donald A.",,"=""0465068782""","=""9780465068784""",0,3.98,Basic Books,Paperback,384,1984,1983,,2021/05/06,to-read,to-read (#652),to-read,,,,0,,,0,,,,,
483485,Vehicles: Experiments in Synthetic Psychology,Valentino Braitenberg,"Braitenberg, Valentino",,"=""0262521121""","=""9780262521123""",0,4.40,Bradford Book,Paperback,168,1986,1984,,2021/04/29,to-read,to-read (#651),to-read,,,,0,,,0,,,,,
52412868,"Mistakes Were Made (but Not by Me) Third Edition: Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts",Carol Tavris,"Tavris, Carol",Elliot Aronson,"=""0358329612""","=""9780358329619""",0,4.01,Mariner Books,Paperback,464,2020,2007,,2021/04/26,to-read,to-read (#650),to-read,,,,0,,,0,,,,,
57818147,Piso compartido,Ana Flecha Marco,"Marco, Ana Flecha",Laszlo Kovaks,"=""""","=""9788412260410""",5,4.53,Mrs. Danvers,Hardcover,112,2021,2018,2021/04/24,2021/04/25,,,read,,,,1,,,0,,,,,
57534020,AZCA,Alba Flores Robla,"Robla, Alba Flores",,"=""8494853511""","=""9788494853517""",5,4.57,Colectivo Laika,Paperback,78,2021,2021,2021/03/25,2021/04/25,,,read,,,,1,,,0,,,,,
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",0,4.44,Metropolitan Books,Hardcover,282,2014,2014,,2021/04/25,to-read,to-read (#649),to-read,,,,0,,,0,,,,,
2368220,Mutant 59: The Plastic Eaters,Kit Pedler,"Pedler, Kit",Gerry Davis,"=""0670496626""","=""9780670496624""",0,3.60,Viking,Hardcover,251,1972,1971,,2021/04/22,to-read,to-read (#648),to-read,,,,0,,,0,,,,,
44284950,99 Poems to Cure Whatever's Wrong with You or Create the Problems You Need,Sam Pink,"Pink, Sam",,"=""1944866361""","=""9781944866365""",0,4.43,Clash Books,Paperback,120,2019,2019,,2021/04/17,to-read,to-read (#647),to-read,,,,0,,,0,,,,,
53780642,The Employees,Olga Ravn,"Ravn, Olga",Martin Aitken,"=""""","=""9781999992880""",0,3.85,Lolli Editions,Paperback,136,2020,2018,,2021/01/30,to-read,to-read (#642),to-read,,,,0,,,0,,,,,
36030238,Nueva ilustración radical,Marina Garcés,"Garcés, Marina",,"=""8433916149""","=""9788433916143""",0,4.11,Anagrama,Paperback,80,2018,,,2021/02/08,to-read,to-read (#646),to-read,,,,0,,,0,,,,,
50131136,"Atlas of AI: Power, Politics, and the Planetary Costs of Artificial Intelligence",Kate Crawford,"Crawford, Kate",,"=""0300209576""","=""9780300209570""",0,4.17,Yale University Press,Hardcover,288,2020,,,2021/02/08,to-read,to-read (#645),to-read,,,,0,,,0,,,,,
53317528,The Copenhagen Trilogy: Childhood; Youth; Dependency,Tove Ditlevsen,"Ditlevsen, Tove","Tiina Nunnally, Michael Favala Goldman","=""0374602395""","=""9780374602390""",0,4.40,"Farrar, Straus and Giroux",Hardcover,384,2021,2001,,2021/02/05,to-read,to-read (#644),to-read,,,,0,,,0,,,,,
53730379,Code as Creative Medium: A Handbook for Computational Art and Design,Golan Levin,"Levin, Golan",Tega Brain,"=""0262542048""","=""9780262542043""",0,4.67,MIT Press,Paperback,280,2021,,,2021/02/03,to-read,to-read (#643),to-read,,,,0,,,0,,,,,
53317494,The Delivery,Peter Mendelsund,"Mendelsund, Peter",,"=""0374600422""","=""9780374600426""",0,3.60,"Farrar, Straus and Giroux",Hardcover,304,2021,2021,,2021/01/18,to-read,to-read (#641),to-read,,,,0,,,0,,,,,
56143249,"Tumblr Porn (Remember the Internet, vol. 1)",Ana Valens,"Valens, Ana",,"=""""","=""9781682199176""",0,4.50,Instar Books,Paperback,128,2020,,,2021/01/12,to-read,to-read (#640),to-read,,,,0,,,0,,,,,
56389217,"Hyperemployment – Post-work, Online Labour and Automation",Silvio  Lorusso,"Lorusso, Silvio","Luciana Parisi, Felix Stalder, Domenico Quaranta, !Mediengruppe Bitnik","=""""","=""9788880561125""",0,5.00,NERO Editions & Aksioma Institute for Contemporary Art,Paperback,154,2020,,,2021/01/04,to-read,to-read (#639),to-read,,,,0,,,0,,,,,
41940448,A Primer for Forgetting: Getting Past the Past,Lewis Hyde,"Hyde, Lewis",,"=""0374710147""","=""9780374710149""",0,3.97,"Farrar, Straus and Giroux",ebook,384,2019,2019,,2021/01/02,to-read,to-read (#638),to-read,,,,0,,,0,,,,,
17259756,Ciudad abierta,Teju Cole,"Cole, Teju",,"=""""","=""9788415277927""",0,3.50,Acantilado,Paperback,296,2012,2011,,2021/01/02,to-read,to-read (#637),to-read,,,,0,,,0,,,,,
1379789,La corrosión del carácter: Las consecuencias personales del trabajo en el nuevo capitalismo,Richard Sennett,"Sennett, Richard",Daniel Najmías,"=""8433905902""","=""9788433905901""",0,3.93,Anagrama,Paperback,192,2000,1996,,2021/01/02,to-read,to-read (#636),to-read,,,,0,,,0,,,,,
16199041,Yoko Ono: To the Light,Yoko Ono,"Ono, Yoko",,"=""3863352211""","=""9783863352219""",0,4.20,"Walther Konig, Cologne",Paperback,95,2012,2012,,2021/01/01,to-read,to-read (#635),to-read,,,,0,,,0,,,,,
17993098,Self-Organised: Occasional Table,Stine Herbert,"Herbert, Stine",,"=""0949004170""","=""9780949004178""",0,3.93,Open Editions,Paperback,163,2013,2013,,2021/01/01,to-read,to-read (#634),to-read,,,,0,,,0,,,,,
8915148,Usefulness in Small Things: Items from the Under a Fiver Collection,Sam Hecht,"Hecht, Sam","Kim Colin, Deyan Sudjic, Paul             Smith","=""0847836088""","=""9780847836086""",0,4.15,Rizzoli,Paperback,224,2011,2011,,2021/01/01,to-read,to-read (#633),to-read,,,,0,,,0,,,,,
156783,Axiomatic,Greg Egan,"Egan, Greg",,"=""0061052655""","=""9780061052651""",0,4.28,HarperPrism,Paperback,293,1997,1990,,2020/12/31,to-read,to-read (#632),to-read,,,,0,,,0,,,,,
52028349,Dessert Person: Recipes and Guidance for Baking with Confidence,Claire Saffitz,"Saffitz, Claire",,"=""1984826964""","=""9781984826961""",0,3.41,Clarkson Potter,Hardcover,368,2020,2020,,2020/12/31,to-read,to-read (#631),to-read,,,,0,,,0,,,,,
52668915,"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,"Sheldrake, Merlin",,"=""0525510311""","=""9780525510314""",0,4.39,Random House,Hardcover,352,2020,2020,,2020/12/31,to-read,to-read (#630),to-read,,,,0,,,0,,,,,
12051838,Sobre la felicidad,Seneca,"Seneca, Seneca",Julián Marías,"=""8420636835""","=""9788420636832""",0,3.84,Alianza,Mass Market Paperback,118,2009,55,2020/12/23,2020/12/23,,,read,,,,1,,,0,,,,,
13155290,Several Short Sentences About Writing,Verlyn Klinkenborg,"Klinkenborg, Verlyn",,"=""0307266346""","=""9780307266347""",5,4.16,Knopf,Hardcover,224,2012,2012,2020/12/23,2018/11/29,,,read,,,,1,,,0,,,,,
36124105,Content Design,Sarah Richards,"Richards, Sarah",,"=""1527209180""","=""9781527209183""",4,4.37,Content Design London,Paperback,224,2017,2017,2020/12/11,2017/10/25,,,read,,,,1,,,0,,,,,
17236175,Just Enough Research,Erika Hall,"Hall, Erika",Jeffrey Zeldman,"=""1937557103""","=""9781937557102""",4,4.18,A Book Apart,Paperback,154,2013,2013,2020/12/08,2020/12/08,,,read,,,,1,,,0,,,,,
52766000,Big Friendship: How We Keep Each Other Close,Aminatou Sow,"Sow, Aminatou",Ann Friedman,"=""1982111909""","=""9781982111908""",0,3.80,Simon  Schuster,Hardcover,256,2020,2020,,2020/12/08,to-read,to-read (#629),to-read,,,,0,,,0,,,,,
34507927,"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Ahrens, Sönke",,"=""""","=""""",4,4.27,,Kindle Edition,178,2017,2017,2020/12/07,2020/10/29,,,read,,,,1,,,0,,,,,
51209181,Good Services: Decoding the Mystery of What Makes a Good Service,Lou Downe,"Downe, Lou",,"=""9063695438""","=""9789063695439""",0,4.38,BIS Publishers,Paperback,192,2019,,,2020/12/06,to-read,to-read (#628),to-read,,,,0,,,0,,,,,
29420123,Design for Real Life,Eric A. Meyer,"Meyer, Eric A.",Sara Wachter-Boettcher,"=""1937557405""","=""9781937557409""",0,4.33,A Book Apart,Paperback,132,2016,2016,,2020/12/06,to-read,to-read (#627),to-read,,,,0,,,0,,,,,
