name,description,address,latitude,longitude
Apurado Café,"Una cafetería que parece un salón de casa, con dulces argentinos y café de Nomad a buen precio.
","Carrer de Roger de Flor, 253",41.403088,2.1667554
035//BAR,"Maravilloso bar que acoge cenas popup igualmente maravillosas.
","Carrer de Monlau, 35",41.424967802049494,2.1904708306832803
El Noa Noa,"Versión maxi del Noa Noa de Gràcia, con más espacio, más mesas y más opciones para comer y beber. Y en el momento de escribir estas líneas, es una buena opción para pasar un rato íntimo con el ordenador.
","Carrer de Villarroel, 71",41.38387661698233,2.1586243260297446
Amateur,"Yet another sitio de vinos naturales en Poblenou y comida rica para picar.
","Carrer de Llull, 101",41.396904435535205,2.1966596217800127
Zumzeig Cinema,"Sala de cine cooperativa y sin ánimo de lucro, con una programación principalmente indie en VO.
","Carrer de Béjar, 53",41.378023248824405,2.1448554232917982
Vereda Bar,"Platos de proximidad y temporada y vinos naturales.
","Carrer de la Diputació, 155",41.38460297818277,2.1578119926085177
Tramendu,"El nombre completo del sitio es “Tramendu. Ens agrada el vermuting” (no confundir con “Tramendu. Encenem els fogons” que está en la misma calle y no he probado). Si lees las críticas en Google Maps verás que la mayoría comentan lo rica que está la comida, lo encantador que es el personal, y lo económico que es el precio. Pues eso.
","Passatge d'Andalusia, 8",41.370565789006044,2.1336241407692733
Tokyo-Ya,"¿Fantástico y bien surtido súper japonés? Sí.
","Carrer de Balmes, 197",41.40031912503507,2.1523378229426
Tofu Catalán,"Pequeño deli donde comprar tofu fresco, bentos y otros productos japoneses.
","Carrer d'Aribau, 119",41.391171858311,2.1556111101123
The Green Spot,"Vegetariano bonito y rico en la Barceloneta. ¿Qué me gustó de aquí? La colifor empanada, el plato de tempeh y el risotto de 7 verdes.
","Carrer de la Reina Cristina, 12",41.381787821227704,2.1839794830047263
Taulat 44,"Deli trendy en Poblenou, con todo lo que eso significa (lo que significa es que va gente trendy… con todo lo que eso significa, etcétera).
","Carrer del Taulat, 44",41.398995319447366,2.205068600770623
SlowMov,"Mi cafetería de cabecera en el barrio.
","Carrer de Luis Antúnez, 18",41.39821818545401,2.1548143969966884
Sato ト Tanaka,"Barra japonesa atendida por dos sushimanes que ofrece dos menús degustación. Difícil conseguir reserva, muy fácil querer volver al salir por la puerta.
","Carrer del Bruc, 79",41.394977701949294,2.168945380457328
Santa Mònica,"Centro interdisciplinario de artes dedicado a impulsar la creación contemporánea
","La Rambla, 7",41.377393737045395,2.1756821241850046
Restaurant Santa Magdalena,"Cuina de barri. El entrepà de berenjena, tomate y mozzarella estaba muy rico.
","Carrer de Sta. Magdalena, 6",41.404370532712676,2.152588853967282
