name,description,address,latitude,longitude
Sit & Wonder,Cuando fui a esta cafetería me tocó el barista aprendiz,"688 Washington Ave, Brooklyn",40.67739967774963,-73.9638492637935
Quimby's Bookstore NYC,Sales de Desert Island y te metes aquí.,536 Metropolitan Ave,40.7139612724994,-73.95093182857953
Prospect Park,Un parque bien majo,"Brooklyn, NY",40.66079205923622,-73.96930685789933
Nûrish,Café con platos vegetarianos y veganos (pero también con opciones para carnívoros),"637 Washington Ave, Brooklyn",40.67840685350245,-73.96369051873681
Mast Books,"Tienen una colección exquisita de primeras ediciones, libros raros y descatalogados, pero son un poco bordes.","72 Avenue A, New York",40.72515257580894,-73.98442797315501
Hungry Ghost,"","183 Sterling Pl, Brooklyn",40.67691397746196,-73.97148321854978
Goods for the Study,Ahora que cerró CW Pencil Enterprise este es un buen sitio donde comprar material de oficina.,"234 Mulberry St, New York",40.72273113413452,-73.99588703974875
Desert Island,"Desert Island is a record store located in the East Village neighborhood of Manhattan, New York City. It is located at 540 East 5th Street, between Avenues A and B.",540 E 5th St,40.713979006545344,-73.95083660504864
Blue Bottle Coffee,Para disfrutar de un buen latte por $6,"203 7th Ave, Brooklyn",40.67111496700548,-73.97825295003133
Banh Mi Place,"","824b Washington Ave, Brooklyn",40.67329930729744,-73.96314417387886
Most High,"","820 Washington Ave, Brooklyn",40.67349277538117,-73.96322140362759
